State,Year,Quater,app_open_count,user_count,District
nagaland,2018,4,0,1099,zunheboto district
nagaland,2018,4,0,1391,wokha district
nagaland,2018,3,0,1287,mon district
nagaland,2018,3,0,1083,phek district
nagaland,2018,3,0,307,longleng district
nagaland,2018,3,0,2313,mokokchung district
nagaland,2018,3,0,465,kiphire district
nagaland,2018,3,0,6298,kohima district
nagaland,2018,3,0,934,tuensang district
nagaland,2018,3,0,526,peren district
nagaland,2018,3,0,17039,dimapur district
nagaland,2018,3,0,821,zunheboto district
nagaland,2018,3,0,1017,wokha district
nagaland,2018,1,0,525,mon district
nagaland,2018,1,0,487,phek district
nagaland,2018,1,0,121,longleng district
nagaland,2018,1,0,1043,mokokchung district
nagaland,2018,1,0,168,kiphire district
nagaland,2018,1,0,3036,kohima district
nagaland,2018,1,0,377,tuensang district
nagaland,2018,1,0,218,peren district
nagaland,2018,1,0,8249,dimapur district
nagaland,2018,1,0,385,zunheboto district
nagaland,2018,1,0,465,wokha district
nagaland,2022,2,3821181,23037,mon district
nagaland,2022,2,3435858,11005,phek district
nagaland,2022,2,1179216,5029,longleng district
nagaland,2022,2,2652528,22136,mokokchung district
nagaland,2022,2,1607993,5687,kiphire district
nagaland,2022,2,2058108,52343,kohima district
nagaland,2022,2,3216508,12747,tuensang district
nagaland,2022,2,1814906,6212,peren district
nagaland,2022,2,2935606,131738,dimapur district
nagaland,2022,2,2960517,8753,zunheboto district
nagaland,2022,2,2970010,13417,wokha district
nagaland,2022,4,944668,25340,mon district
nagaland,2022,4,510573,11847,phek district
nagaland,2022,4,179637,5473,longleng district
nagaland,2022,4,629958,24045,mokokchung district
